,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
289,ES1250A,ES1250A-HILERA,36.722221,-4.418611,MÁLAGA,ES
290,ES1251A,ES1251A-COLODRO,37.893612,-4.774444,CÓRDOBA,ES
291,ES1253A,ES1253A-BAILÉN,38.092931,-3.783919,BAILÉN,ES
292,ES1254A,ES1254A-HOSPITAL CIUDAD JAÉN,37.766945,-3.789172,JAÉN,ES
293,ES1256A,ES1256A-LOS ROSALES,37.260161,-6.925461,HUELVA,ES
294,ES1258A,ES1258A-MOGUER,37.281561,-6.833839,MOGUER,ES
295,ES1259A,ES1259A-NIEBLA,37.358439,-6.678461,NIEBLA,ES
296,ES1260A,ES1260A-PLAZA DE LA CONCORDIA,36.843609,-2.469445,ALMERÍA,ES
297,ES1261A,ES1261A-JEREZ,36.681389,-6.128334,JEREZ DE LA FRONTERA,ES
298,ES1262A,ES1262A-AD-SABADELL (GRAN VIA),41.562778,2.102778,SABADELL,ES
299,ES1263A,ES1263A-AE-RUBI,41.488335,2.030011,RUBÍ,ES
300,ES1268A,ES1268A-PLAZA DE TOROS,43.357778,-5.864722,OVIEDO,ES
301,ES1269A,ES1269A-PALACIO DE DEPORTES,43.367222,-5.831389,OVIEDO,ES
302,ES1270A,ES1270A-HERMANOS FELGUEROSO,43.536111,-5.656667,GIJÓN,ES
303,ES1271A,ES1271A-ARGENTINA,43.541111,-5.696111,GIJÓN,ES
304,ES1272A,ES1272A-CONSTITUCIÓN,43.531111,-5.705833,GIJÓN,ES
305,ES1275A,ES1275A-AC-SANT CELONI,41.690000,2.496667,SANT CELONI,ES
306,ES1276A,ES1276A-LINARES,38.093887,-3.633894,LINARES,ES
307,ES1277A,ES1277A-INSTITUTO Nº 3,38.681667,-4.106944,PUERTOLLANO,ES
308,ES1278A,ES1278A-CALLE ANCHA,38.691111,-4.109722,PUERTOLLANO,ES
309,ES1279A,ES1279A-CAMPO DE FÚTBOL,38.684444,-4.088611,PUERTOLLANO,ES
